1.92E+02	1.59E+02	1.89E+15	9.49E-21	3.56E-20	0.26659
1.93E+02	1.60E+02	1.88E+15	1.00E-20	4.17E-20	0.24059
1.94E+02	1.61E+02	1.87E+15	1.20E-20	4.87E-20	0.24669
1.95E+02	1.62E+02	1.86E+15	1.50E-20	5.68E-20	0.26404
1.96E+02	1.63E+02	1.84E+15	1.75E-20	2.57E-19	0.06798
1.97E+02	1.64E+02	1.83E+15	2.71E-20	3.11E-19	0.08697
1.98E+02	1.65E+02	1.82E+15	3.77E-20	3.75E-19	0.10031
1.99E+02	1.66E+02	1.81E+15	3.69E-20	4.52E-19	0.08174
2.00E+02	1.67E+02	1.80E+15	5.53E-20	5.42E-19	0.10188
2.01E+02	1.67E+02	1.79E+15	5.53E-20	6.16E-19	0.08987
2.02E+02	1.68E+02	1.79E+15	8.18E-20	6.95E-19	0.11773
2.03E+02	1.69E+02	1.78E+15	1.03E-19	8.13E-19	0.1272
2.04E+02	1.70E+02	1.77E+15	1.48E-19	9.67E-19	0.15261
2.05E+02	1.71E+02	1.76E+15	1.74E-19	1.15E-18	0.15121
2.06E+02	1.72E+02	1.75E+15	2.07E-19	1.45E-18	0.14251
2.07E+02	1.73E+02	1.74E+15	2.86E-19	1.71E-18	0.16679
2.08E+02	1.74E+02	1.73E+15	3.24E-19	2.01E-18	0.16084
2.09E+02	1.75E+02	1.72E+15	4.40E-19	2.36E-18	0.18651
2.10E+02	1.76E+02	1.71E+15	5.12E-19	2.76E-18	0.18524
2.11E+02	1.77E+02	1.70E+15	6.29E-19	3.23E-18	0.19499
2.12E+02	1.78E+02	1.69E+15	6.84E-19	3.76E-18	0.18182
2.13E+02	1.79E+02	1.68E+15	1.18E-18	4.38E-18	0.27077
2.14E+02	1.80E+02	1.67E+15	1.07E-18	5.08E-18	0.21067
2.15E+02	1.81E+02	1.66E+15	1.76E-18	5.89E-18	0.2992
2.16E+02	1.82E+02	1.65E+15	1.48E-18	6.82E-18	0.2165
2.17E+02	1.83E+02	1.64E+15	2.30E-18	7.89E-18	0.29153
2.18E+02	1.84E+02	1.63E+15	2.20E-18	9.10E-18	0.24168
2.19E+02	1.85E+02	1.62E+15	3.39E-18	1.05E-17	0.32281
2.20E+02	1.86E+02	1.62E+15	3.10E-18	1.21E-17	0.2568
